fare_type,applicable_time,distance,fare_per_ride,Min,Max
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),35.3 km - 36.2 km,124,35.3,36.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),36.3 km - 37.2 km,125,36.3,37.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),37.3 km - 38.2 km,126,37.3,38.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),38.3 km - 39.2 km,127,38.3,39.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),39.3 km - 40.2 km,128,39.3,40.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),Over 40.2 km,129,40.2,999.0
Workfare transport concession card fare,All other timings,Up to 3.2 km,74,0.0,3.2
Workfare transport concession card fare,All other timings,3.3 km - 4.2 km,82,3.3,4.2
Workfare transport concession card fare,All other timings,4.3 km - 5.2 km,91,4.3,5.2
Workfare transport concession card fare,All other timings,5.3 km - 6.2 km,99,5.3,6.2
Workfare transport concession card fare,All other timings,6.3 km - 7.2 km,106,6.3,7.2
Workfare transport concession card fare,All other timings,7.3 km - 8.2 km,112,7.3,8.2
Workfare transport concession card fare,All other timings,8.3 km - 9.2 km,118,8.3,9.2
Workfare transport concession card fare,All other timings,9.3 km - 10.2 km,121,9.3,10.2
Workfare transport concession card fare,All other timings,10.3 km - 11.2 km,124,10.3,11.2
Workfare transport concession card fare,All other timings,11.3 km - 12.2 km,127,11.3,12.2
Workfare transport concession card fare,All other timings,12.3 km - 13.2 km,130,12.3,13.2
Workfare transport concession card fare,All other timings,13.3 km - 14.2 km,133,13.3,14.2
Workfare transport concession card fare,All other timings,14.3 km - 15.2 km,136,14.3,15.2
Workfare transport concession card fare,All other timings,15.3 km - 16.2 km,139,15.3,16.2
Workfare transport concession card fare,All other timings,16.3 km - 17.2 km,142,16.3,17.2
Workfare transport concession card fare,All other timings,17.3 km - 18.2 km,145,17.3,18.2
Workfare transport concession card fare,All other timings,18.3 km - 19.2 km,148,18.3,19.2
Workfare transport concession card fare,All other timings,19.3 km - 20.2 km,151,19.3,20.2
Workfare transport concession card fare,All other timings,20.3 km - 21.2 km,154,20.3,21.2
Workfare transport concession card fare,All other timings,21.3 km - 22.2 km,157,21.3,22.2
Workfare transport concession card fare,All other timings,22.3 km - 23.2 km,160,22.3,23.2
Workfare transport concession card fare,All other timings,23.3 km - 24.2 km,162,23.3,24.2
Workfare transport concession card fare,All other timings,24.3 km - 25.2 km,163,24.3,25.2
Workfare transport concession card fare,All other timings,25.3 km - 26.2 km,164,25.3,26.2
Workfare transport concession card fare,All other timings,26.3 km - 27.2 km,165,26.3,27.2
Workfare transport concession card fare,All other timings,27.3 km - 28.2 km,166,27.3,28.2
Workfare transport concession card fare,All other timings,28.3 km - 29.2 km,167,28.3,29.2
Workfare transport concession card fare,All other timings,29.3 km - 30.2 km,168,29.3,30.2
Workfare transport concession card fare,All other timings,30.3 km - 31.2 km,169,30.3,31.2
Workfare transport concession card fare,All other timings,31.3 km - 32.2 km,170,31.3,32.2
Workfare transport concession card fare,All other timings,32.3 km - 33.2 km,171,32.3,33.2
Workfare transport concession card fare,All other timings,33.3 km - 34.2 km,172,33.3,34.2
